Internal Name,Localized Name,Item Type,Description,Source Mod
"ShieldKnight","Knight shield UNUSED","Weapon","$item_shield_knight_description","Valheim"
"ShieldSerpentscale","Serpent Scale Shield","Weapon","$item_shield_serpentscale_description","Valheim"
"ShieldSilver","Silver Shield","Weapon","$item_shield_silver_description","Valheim"
"ShieldWood","Wood Shield","Weapon","$item_shield_wood_description","Valheim"
"ShieldWoodTower","Wood Tower Shield","Weapon","$item_shield_woodtower_description","Valheim"
"shipwreck_karve_bottomboards","shipwreck_karve_bottomboards","Undefined","","Valheim"
"shipwreck_karve_bow","shipwreck_karve_bow","Undefined","","Valheim"
"shipwreck_karve_dragonhead","shipwreck_karve_dragonhead","Undefined","","Valheim"
"shipwreck_karve_stern","shipwreck_karve_stern","Undefined","","Valheim"
"shipwreck_karve_sternpost","shipwreck_karve_sternpost","Undefined","","Valheim"
"ShocklateSmoothie","Muckshake","Food","$item_shocklatesmoothie_description","Valheim"
"shrub_2","shrub_2","Undefined","","Valheim"
"shrub_2_heath","shrub_2_heath","Undefined","","Valheim"
"Silver","Silver","Item","$item_silver_description","Valheim"
"SilverNecklace","Silver Necklace","Item","$item_silvernecklace_description","Valheim"
"SilverOre","Silver Ore","Item","$item_silverore_description","Valheim"
"silvervein","Silver Vein","Undefined","","Valheim"
"silvervein_frac","Silver Vein","Undefined","","Valheim"
"SizzlingBerryBroth","Sizzling Berry Broth","Food","$item_sizzlingberrybroth_description","Valheim"
"Skeleton","Skeleton","Creature","","Valheim"
"Skeleton_Friendly","Skelett","Creature","","Valheim"
"Skeleton_Hildir","<color=orange>Brenna</color>","Creature","","Valheim"
"Skeleton_Hildir_nochest","<color=orange>Brenna</color>","Creature","","Valheim"
"Skeleton_NoArcher","Skeleton","Creature","","Valheim"
"Skeleton_Poison","Rancid Remains","Creature","","Valheim"
"SledgeCheat","Cheat sledge","Weapon","Cheater!","Valheim"
"SledgeDemolisher","Demolisher","Weapon","$item_sledge_demolisher_description","Valheim"
"SledgeIron","Iron Sledge","Weapon","$item_sledge_iron_description","Valheim"
"SledgeStagbreaker","Stagbreaker","Weapon","$item_stagbreaker_description","Valheim"
"Softtissue","Soft Tissue","Item","$item_softtissue_description","Valheim"
"Sparkler","Sparkler","Weapon","$item_sparkler_description","Valheim"
"SparklingShroomshake","Sparkling Shroomshake","Food","$item_sparklingshroomshake_description","Valheim"
"Spawner_CharredStone","Monument of Torment","Undefined","","Valheim"
"Spawner_CharredStone_Elite","Monument of Torment","Undefined","","Valheim"
"Spawner_CharredStone_event","Monument of Torment","Undefined","","Valheim"
"Spawner_GreydwarfNest","Greydwarf Nest","Undefined","","Valheim"
"Spawner_Kvastur","Spawner_Kvastur","Creature","","Valheim"
"SpearBronze","Bronze Spear","Weapon","$item_spear_bronze_description","Valheim"
"SpearCarapace","Carapace Spear","Weapon","$item_spear_carapace_description","Valheim"
"SpearChitin","Abyssal Harpoon","Weapon","$item_spear_chitin_description","Valheim"
"SpearElderbark","Ancient Bark Spear","Weapon","$item_spear_ancientbark_description","Valheim"
"SpearFlint","Flint Spear","Weapon","$item_spear_flint_description","Valheim"
"SpearSplitner","Splitnir","Weapon","$item_spear_splitner_description","Valheim"
"SpearSplitner_Blood","Splitnir the Bleeding","Weapon","$item_spear_splitner_blood_description","Valheim"
"SpearSplitner_Lightning","Splitnir the Storming","Weapon","$item_spear_splitner_lightning_description","Valheim"
"SpearSplitner_Nature","Splitnir the Primal","Weapon","$item_spear_splitner_nature_description","Valheim"
"SpearWolfFang","Fang Spear","Weapon","$item_spear_wolffang_description","Valheim"
"SpiceAshlands","Fiery Spice Powder","Item","$item_spiceashlands_description","Valheim"
"SpiceForests","Woodland Herb Blend","Item","$item_spiceforests_description","Valheim"
"SpiceMistlands","Herbs of the Hidden Hills","Item","$item_spicemistlands_description","Valheim"
"SpiceMountains","Mountain Peak Pepper Powder","Item","$item_spicemountains_description","Valheim"
"SpiceOceans","Seafarer's Herbs","Item","$item_spiceoceans_description","Valheim"
"SpicePlains","Grasslands Herbalist Harvest","Item","$item_spiceplains_description","Valheim"
"SpicyMarmalade","Spicy Marmalade","Food","$item_spicymarmalade_description","Valheim"
"staff_greenroots_tentaroot","Summoned Root","Creature","","Valheim"
"StaffClusterbomb","Staff of Fracturing","Weapon","$item_staffclusterbomb_description","Valheim"
"StaffFireball","Staff of Embers","Weapon","$item_stafffireball_description","Valheim"
"StaffGreenRoots","Staff of the Wild","Weapon","$item_staffgreenroots_description","Valheim"
"StaffIceShards","Staff of Frost","Weapon","$item_stafficeshards_description","Valheim"
"StaffLightning","Dundr","Weapon","$item_staff_lightning_description","Valheim"
"StaffRedTroll","Trollstav","Weapon","$item_staffredtroll_description","Valheim"
"StaffShield","Staff of Protection","Weapon","$item_staffshield_description","Valheim"
"StaffSkeleton","Dead Raiser","Weapon","$item_staffskeleton_description","Valheim"
"StaminaUpgrade_Greydwarf","Stamina Greydwarf","Food","$item_staminaupgrade_description","Valheim"
"StaminaUpgrade_Troll","Stamina Troll","Food","$item_staminaupgrade_description","Valheim"
"StaminaUpgrade_Wraith","Stamina Wraith","Food","$item_staminaupgrade_description","Valheim"
"Stone","Stone","Item","$item_stone_description","Valheim"
"StoneGolem","Stone Golem","Creature","","Valheim"
"StoneRock","Rock","Item","$item_stonerock_description","Valheim"
"stubbe","stubbe","Undefined","","Valheim"
"stubbe_spawner","stubbe_spawner","Undefined","","Valheim"
"SulfurStone","Sulfur","Item","$item_sulfurstone_description","Valheim"
"Surtling","Surtling","Creature","","Valheim"
"SurtlingCore","Surtling Core","Item","$item_surtlingcore_description","Valheim"
"SwampTree1","Ancient Tree","Undefined","","Valheim"
"SwordBlackmetal","Black Metal Sword","Weapon","$item_sword_blackmetal_description","Valheim"
"SwordBronze","Bronze Sword","Weapon","$item_sword_bronze_description","Valheim"
"SwordCheat","Cheat sword","Weapon","Cheater!","Valheim"
"SwordDyrnwyn","Dyrnwyn","Weapon","$item_sword_dyrnwyn_description","Valheim"
"SwordIron","Iron Sword","Weapon","$item_sword_iron_description","Valheim"
"SwordIronFire","Dyrnwyn","Weapon","$item_sword_fire_description","Valheim"
"SwordMistwalker","Mistwalker","Weapon","$item_sword_mistwalker_description","Valheim"
"SwordNiedhogg","Nidhögg","Weapon","$item_sword_niedhogg_description","Valheim"
"SwordNiedhoggBlood","Nidhögg the Bleeding","Weapon","$item_sword_niedhogg_blood_description","Valheim"
"SwordNiedhoggLightning","Nidhögg the Thundering","Weapon","$item_sword_niedhogg_lightning_description","Valheim"
"SwordNiedhoggNature","Nidhögg the Primal","Weapon","$item_sword_niedhogg_nature_description","Valheim"
"SwordSilver","Silver Sword","Weapon","$item_sword_silver_description","Valheim"
"Tankard","Tankard","Weapon","$item_tankard_description","Valheim"
"Tankard_dvergr","Dvergr Tankard","Weapon","$item_dvergrtankard_description","Valheim"
"TankardAnniversary","Horn of Celebration","Weapon","$item_tankard_anniversary_description","Valheim"
"TankardOdin","Mead Horn of Odin","Weapon","$item_tankard_odin_description","Valheim"
"Tar","Tar","Item","$item_tar_description","Valheim"
"tarlump1","tarlump1","Undefined","","Valheim"
"tarlump1_frac","tarlump1_frac","Undefined","","Valheim"
"TentaRoot","Root","Creature","","Valheim"
"TheHive","[enemy_thehive]","Creature","","Valheim"
"Thistle","Thistle","Item","$item_thistle_description","Valheim"
"THSwordKrom","Krom","Weapon","$item_sword_krom_description","Valheim"
"THSwordSlayer","Slayer","Weapon","$item_sword_slayer_description","Valheim"
"THSwordSlayerBlood","Brutal Slayer","Weapon","$item_sword_slayer_blood_description","Valheim"
"THSwordSlayerLightning","Scourging Slayer","Weapon","$item_sword_slayer_lightning_description","Valheim"
"THSwordSlayerNature","Primal Slayer","Weapon","$item_sword_slayer_nature_description","Valheim"
"Thunderstone","Thunder Stone","Item","$item_thunderstone_description","Valheim"
"Tick","Tick","Creature","","Valheim"
"Tin","Tin","Item","$item_tin_description","Valheim"
"TinOre","Tin Ore","Item","$item_tinore_description","Valheim"
"Torch","Torch","Weapon","$item_torch_description","Valheim"
"TorchMist","[item_torchmist]","Weapon","$item_torch_description","Valheim"
"trader_wagon_destructable","trader_wagon_destructable","Undefined","","Valheim"
"TrainingDummy","TrainingDummy","Creature","","Valheim"
"TreasureChest_ashland_stone","Chest","Piece","","Valheim"
"TreasureChest_blackforest","Chest","Piece","","Valheim"
"TreasureChest_charredfortress","Charred Chest","Piece","","Valheim"
"TreasureChest_dvergr_loose_stone","Chest","Piece","","Valheim"
"TreasureChest_dvergrtower","Chest","Piece","","Valheim"
"TreasureChest_dvergrtown","Chest","Piece","","Valheim"
"TreasureChest_fCrypt","Chest","Piece","","Valheim"
"TreasureChest_forestcrypt","Chest","Piece","","Valheim"
"TreasureChest_forestcrypt_hildir","Chest","Piece","","Valheim"
"TreasureChest_heath","Chest","Piece","","Valheim"
"TreasureChest_heath_hildir","Chest","Piece","","Valheim"
"TreasureChest_meadows","Chest","Piece","","Valheim"
"TreasureChest_meadows_buried","Chest","Piece","","Valheim"
"TreasureChest_mountaincave","Chest","Piece","","Valheim"
"TreasureChest_mountaincave_hildir","Chest","Piece","","Valheim"
"TreasureChest_mountains","Chest","Piece","","Valheim"
"TreasureChest_plains_stone","Chest","Piece","","Valheim"
"TreasureChest_plainsfortress_hildir","Chest","Piece","","Valheim"
"TreasureChest_sunkencrypt","Chest","Piece","","Valheim"
"TreasureChest_swamp","Chest","Piece","","Valheim"
"TreasureChest_trollcave","Chest","Piece","","Valheim"
"Troll","Troll","Creature","","Valheim"
"Troll_Summoned","Summoned Troll","Creature","","Valheim"
"TrollHide","Troll Hide","Item","$item_trollhide_description","Valheim"
"TrophyAbomination","Abomination Trophy","Item","$item_trophy_abomination_description","Valheim"
"TrophyAsksvin","Asksvin Trophy","Item","$item_trophy_asksvin_description","Valheim"
"TrophyBlob","Blob Trophy","Item","$item_trophy_blob_description","Valheim"
"TrophyBoar","Boar Trophy","Item","$item_trophy_boar_description","Valheim"
"TrophyBonemass","Bonemass Trophy","Item","$item_trophy_bonemass_description","Valheim"
"TrophyBonemawSerpent","Bonemaw Trophy","Item","$item_trophy_bonemaw_description","Valheim"
"TrophyCharredArcher","Marksman Trophy","Item","$item_trophy_charredarcher_description","Valheim"
"TrophyCharredMage","Warlock Trophy","Item","$item_trophy_charredmage_description","Valheim"
"TrophyCharredMelee","Warrior Trophy","Item","$item_trophy_charredmelee_description","Valheim"
"TrophyCultist","Cultist Trophy","Item","$item_trophy_cultist_description","Valheim"
"TrophyCultist_Hildir","Geirrhafa Trophy","Item","$item_trophy_cultist_hildir_description","Valheim"
"TrophyDeathsquito","Deathsquito Trophy","Item","$item_trophy_deathsquito_description","Valheim"
"TrophyDeer","Deer Trophy","Item","$item_trophy_deer_description","Valheim"
"TrophyDragonQueen","Moder Trophy","Item","$item_trophy_dragonqueen_description","Valheim"
"TrophyDraugr","Draugr Trophy","Item","$item_trophy_draugr_description","Valheim"
"TrophyDraugrElite","Draugr Elite Trophy","Item","$item_trophy_draugrelite_description","Valheim"
"TrophyDraugrFem","Draugr Trophy","Item","$item_trophy_draugr_description","Valheim"
"TrophyDvergr","Dvergr Trophy","Item","$item_trophy_dvergr_description","Valheim"
"TrophyEikthyr","Eikthyr Trophy","Item","$item_trophy_eikthyr_description","Valheim"
"TrophyFader","Fader Trophy","Item","$item_trophy_fader_description","Valheim"
"TrophyFallenValkyrie","Fallen Valkyrie Trophy","Item","$item_trophy_fallenvalkyrie_description","Valheim"
"TrophyFenring","Fenring Trophy","Item","$item_trophy_fenring_description","Valheim"
"TrophyForestTroll","Troll Trophy","Item","$item_trophy_troll_description","Valheim"
"TrophyFrostTroll","Troll Trophy","Item","$item_trophy_troll_description","Valheim"
"TrophyGjall","Gjall Trophy","Item","$item_trophy_gjall_description","Valheim"
"TrophyGoblin","Fuling Trophy","Item","$item_trophy_goblin_description","Valheim"
"TrophyGoblinBrute","Fuling Berserker Trophy","Item","$item_trophy_goblinbrute_description","Valheim"
"TrophyGoblinBruteBrosBrute","Thungr Trophy","Item","$item_trophy_brutebro_description","Valheim"
"TrophyGoblinBruteBrosShaman","Zil Trophy","Item","$item_trophy_shamanbro_description","Valheim"
"TrophyGoblinKing","Yagluth Trophy","Item","$item_trophy_goblinking_description","Valheim"
"TrophyGoblinShaman","Fuling Shaman Trophy","Item","$item_trophy_goblinshaman_description","Valheim"
"TrophyGreydwarf","Greydwarf Trophy","Item","$item_trophy_greydwarf_description","Valheim"
"TrophyGreydwarfBrute","Greydwarf Brute Trophy","Item","$item_trophy_greydwarfbrute_description","Valheim"
"TrophyGreydwarfShaman","Greydwarf Shaman Trophy","Item","$item_trophy_greydwarfshaman_description","Valheim"
"TrophyGrowth","Growth Trophy","Item","$item_trophy_growth_description","Valheim"
"TrophyHare","Hare Trophy","Item","$item_trophy_hare_description","Valheim"
"TrophyHatchling","Drake Trophy","Item","$item_trophy_hatchling_description","Valheim"
"TrophyKvastur","Kvastur","Item","$item_kvastur_description","Valheim"
"TrophyLeech","Leech Trophy","Item","$item_trophy_leech_description","Valheim"
"TrophyLox","Lox Trophy","Item","$item_trophy_lox_description","Valheim"
"TrophyMorgen","Morgen Trophy","Item","$item_trophy_morgen_description","Valheim"
"TrophyNeck","Neck Trophy","Item","$item_trophy_neck_description","Valheim"
"TrophySeeker","Seeker Trophy","Item","$item_trophy_seeker_description","Valheim"
"TrophySeekerBrute","Seeker Soldier Trophy","Item","$item_trophy_seeker_brute_description","Valheim"
"TrophySeekerQueen","The Queen Trophy","Item","$item_trophy_seekerqueen_description","Valheim"
"TrophySerpent","Serpent Trophy","Item","$item_trophy_serpent_description","Valheim"
"TrophySGolem","Stone Golem Trophy","Item","$item_trophy_sgolem_description","Valheim"
"TrophySkeleton","Skeleton Trophy","Item","$item_trophy_skeleton_description","Valheim"
"TrophySkeletonHildir","Brenna Trophy","Item","$item_trophy_skeleton_hildir_description","Valheim"
"TrophySkeletonPoison","Rancid Remains Trophy","Item","$item_trophy_skeletonpoison_description","Valheim"
"TrophySurtling","Surtling Trophy","Item","$item_trophy_surtling_description","Valheim"
"TrophyTheElder","The Elder Trophy","Item","$item_trophy_elder_description","Valheim"
"TrophyTick","Tick Trophy","Item","$item_trophy_tick_description","Valheim"
"TrophyUlv","Ulv Trophy","Item","$item_trophy_ulv_description","Valheim"
"TrophyWolf","Wolf Trophy","Item","$item_trophy_wolf_description","Valheim"
"TrophyVolture","Volture Trophy","Item","$item_trophy_volture_description","Valheim"
"TrophyWraith","Wraith Trophy","Item","$item_trophy_wraith_description","Valheim"
"Turnip","Turnip","Item","$item_turnip_description","Valheim"
"TurnipSeeds","Turnip Seeds","Item","$item_turnipseeds_description","Valheim"
"TurnipStew","Turnip Stew","Food","$item_turnipstew_description","Valheim"
"TurretBolt","Black Metal Missile","Item","$item_turretbolt_description","Valheim"
"TurretBoltBone","[item_turretboltbone]","Item","$item_turretboltbone_description","Valheim"
"TurretBoltFlametal","Flametal Missile","Item","$item_turretbolt_flametal_description","Valheim"
"TurretBoltWood","Wooden Missile","Item","$item_turretboltwood_description","Valheim"
"Ulv","Ulv","Creature","","Valheim"
"UnstableLavaRock","Unstable Lava Rock","Undefined","","Valheim"
"veg_skull_Ashlands","veg_skull_Ashlands","Undefined","","Valheim"
"VegvisirShard_Bonemass","Yagluth thing","Item","Placeholder item for Yagluth item drop.","Valheim"
"widestone","widestone","Undefined","","Valheim"
"widestone_frac","Rock","Undefined","","Valheim"
"VineAsh","VineAsh","Undefined","","Valheim"
"Vineberry","Vineberry Cluster","Food","$item_vineberry_description","Valheim"
"VineberrySeeds","Vineberry Seeds","Item","$item_vineberryseeds_description","Valheim"
"VineGreen","VineGreen","Undefined","","Valheim"
"VineGreenSeeds","Ivy Seeds","Item","$item_vinegreenseeds_description","Valheim"
"Wishbone","Wishbone","Item","$item_wishbone_description","Valheim"
"Wisp","Wisp","Item","$item_wisp_description","Valheim"
"WitheredBone","Withered Bone","Item","$item_witheredbone_description","Valheim"
"Wolf","Wolf","Creature","","Valheim"
"Wolf_cub","Wolf Cub","Creature","","Valheim"
"WolfClaw","Fenris Claw","Item","$item_wolfclaw_description","Valheim"
"WolfFang","Wolf Fang","Item","$item_wolffang_description","Valheim"
"WolfHairBundle","Fenris Hair","Item","$item_wolfhairbundle_description","Valheim"
"WolfJerky","Wolf Jerky","Food","$item_wolfjerky_description","Valheim"
"WolfMeat","Wolf Meat","Item","$item_wolf_meat_description","Valheim"
"WolfMeatSkewer","Wolf Skewer","Food","$item_wolf_skewer_description","Valheim"
"WolfPelt","Wolf Pelt","Item","$item_wolfpelt_description","Valheim"
"Volture","Volture","Creature","","Valheim"
"VoltureEgg","Volture Egg","Item","$item_voltureegg_description","Valheim"
"VoltureMeat","Volture Meat","Item","$item_volture_meat_description","Valheim"
"Wood","Wood","Item","$item_wood_description","Valheim"
"Wraith","Wraith","Creature","","Valheim"
"YagluthDrop","Torn Spirit","Item","$item_yagluththing_description","Valheim"
"YggaShoot_small1","Yggdrasil Shoot","Undefined","","Valheim"
"YggaShoot1","Yggdrasil Shoot","Undefined","","Valheim"
"YggaShoot2","Yggdrasil Shoot","Undefined","","Valheim"
"YggaShoot3","Yggdrasil Shoot","Undefined","","Valheim"
"YggdrasilPorridge","Yggdrasil Porridge","Food","$item_yggdrasilporridge_description","Valheim"
"YggdrasilWood","Yggdrasil Wood","Item","$item_yggdrasilwood_description","Valheim"
"YmirRemains","Ymir Flesh","Item","$item_ymirremains_description","Valheim"
"kg_EnchantScroll_Weapon_F","Enchant Scroll: Weapon (F)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_F","Blessed Enchant Scroll: Weapon (F)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_F","Enchant Scroll: Armor (F)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_F","Blessed Enchant Scroll: Armor (F)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_D","Enchant Scroll: Weapon (D)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_D","Blessed Enchant Scroll: Weapon (D)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_D","Enchant Scroll: Armor (D)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_D","Blessed Enchant Scroll: Armor (D)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_C","Enchant Scroll: Weapon (C)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_C","Blessed Enchant Scroll: Weapon (C)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_C","Enchant Scroll: Armor (C)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_C","Blessed Enchant Scroll: Armor (C)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_B","Enchant Scroll: Weapon (B)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_B","Blessed Enchant Scroll: Weapon (B)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_B","Enchant Scroll: Armor (B)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_B","Blessed Enchant Scroll: Armor (B)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_A","Enchant Scroll: Weapon (A)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_A","Blessed Enchant Scroll: Weapon (A)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_A","Enchant Scroll: Armor (A)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_A","Blessed Enchant Scroll: Armor (A)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_S","Enchant Scroll: Weapon (S)","Item","$kg_enchantscroll_weapon_description","Valheim Enchantment System"
"kg_EnchantScroll_Weapon_Blessed_S","Blessed Enchant Scroll: Weapon (S)","Item","$kg_enchantscroll_weapon_blessed_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_S","Enchant Scroll: Armor (S)","Item","$kg_enchantscroll_armor_description","Valheim Enchantment System"
"kg_EnchantScroll_Armor_Blessed_S","Blessed Enchant Scroll: Armor (S)","Item","$kg_enchantscroll_armor_blessed_description","Valheim Enchantment System"
"BackpackMeadows","Satchel","Armor","$vapok_mod_item_backpack_meadows_description","Adventure Backpacks"
"BackpackBlackForest","Rugged Backpack","Armor","$vapok_mod_item_backpack_blackforest_description","Adventure Backpacks"
"BackpackSwamp","Bloodbag Wetpack","Armor","$vapok_mod_item_backpack_swamp_description","Adventure Backpacks"
"BackpackMountains","Arctic Sherpa Pack","Armor","$vapok_mod_item_backpack_mountains_description","Adventure Backpacks"
"BackpackPlains","Lox Hide Knappsack","Armor","$vapok_mod_item_backpack_plains_description","Adventure Backpacks"
"BackpackMistlands","Explorers Wisppack","Armor","$vapok_mod_item_backpack_mistlands_description","Adventure Backpacks"
"CapeIronBackpack","Old Rugged Backpack","Armor","$vapok_mod_item_rugged_backpack_description","Adventure Backpacks"
"CapeSilverBackpack","Old Arctic Backpack","Armor","$vapok_mod_item_arctic_backpack_description","Adventure Backpacks"
"bp_explorer","Explorer's Backpack","Item","$item_explorer_description","Backpacks"
"BCA_BoiledEgg","Boiled Egg","Food","$bca_boiledegg_description","CookingAdditions"
"BCA_ChickenSoup","Chicken Soup","Food","$bca_chickensoup_description","CookingAdditions"
"BCA_ChiliPepper","Chili Pepper","Food","$bca_chilipepper_description","CookingAdditions"
"BCA_ChiliPepperSeeds","Chili Pepper Seeds","Item","$bca_chilipepperseeds_description","CookingAdditions"
"BCA_FishSoup","Fish Soup","Food","$bca_fishsoup_description","CookingAdditions"
"BCA_MeatSoup","Meat Soup","Food","$bca_meatsoup_description","CookingAdditions"
"BCA_SpicyMeatPlatter","Spicy Meat Platter","Food","$bca_spicymeatplatter_description","CookingAdditions"
"BCA_SpicyMeatSupreme","Spicy Meat Supreme","Food","$bca_spicymeatsupreme_description","CookingAdditions"
"BCA_SpicySerpentMeat","Spicy Serpent Meat","Food","$bca_spicyserpentmeat_description","CookingAdditions"
"BCA_SweetNSpicyFish","Sweet N Spicy Fish","Food","$bca_sweetnspicyfish_description","CookingAdditions"
"BCA_Tomato","Tomato","Food","$bca_tomato_description","CookingAdditions"
"BCA_TomatoSeeds","Tomato Seeds","Item","$bca_tomatoseeds_description","CookingAdditions"
"BCA_TomatoSoup","Tomato Soup","Food","$bca_tomatosoup_description","CookingAdditions"
"BCA_VeggieSoup","Veggie Soup","Food","$bca_veggiesoup_description","CookingAdditions"
"BCA_Salt","Salt","Item","$bca_salt_description","CookingAdditions"
"BCA_Salted_AsksvinEgg","Salted Asksvin Egg","Food","$bca_salted_asksvin_egg_description","CookingAdditions"
"BCA_Coated_AsksvinEgg","Coated Asksvin Egg","Item","$bca_coated_asksvinegg_description","CookingAdditions"
"BCA_Salted_AsksvinMeat","Salted Asksvin Meat","Food","$bca_salted_asksvinmeat_description","CookingAdditions"
"BCA_Undryed_AsksvinMeat","Salted Asksvin Meat (Material)","Item","$bca_undryed_asksvinmeat_description","CookingAdditions"
"BCA_SaltRock","Salt Rock","Item","$bca_salt_rock_description","CookingAdditions"
"BCA_Coated_ChickenEgg","Coated Chicken Egg","Item","$bca_coated_chickenegg_description","CookingAdditions"
"BCA_Coated_VoltureEgg","Coated Volture Egg","Item","$bca_coated_voltureegg_description","CookingAdditions"
"BCA_Salted_BoarMeat","Salted Boar Meat","Food","$bca_salted_boarmeat_description","CookingAdditions"
"BCA_Salted_BugMeat","Salted Bug Meat","Food","$bca_salted_bugmeat_description","CookingAdditions"
"BCA_Salted_ChickenEgg","Salted Chicken Egg","Food","$bca_salted_chickenegg_description","CookingAdditions"
"BCA_Salted_ChickenMeat","Salted Chicken Meat","Food","$bca_salted_chickenmeat_description","CookingAdditions"
"BCA_Salted_DeerMeat","Salted Deer Meat","Food","$bca_salted_deermeat_description","CookingAdditions"
"BCA_Salted_Fish","Salted Fish","Food","$bca_salted_fish_description","CookingAdditions"
"BCA_Salted_HareMeat","Salted Hare Meat","Food","$bca_salted_haremeat_description","CookingAdditions"
"BCA_Salted_VoltureEgg","Salted Volture Egg","Food","$bca_salted_voltureegg_description","CookingAdditions"
"BCA_Salted_WolfMeat","Salted Wolf Meat","Food","$bca_salted_wolfmeat_description","CookingAdditions"
"BCA_Undryed_BugMeat","Salted Bug Meat (Material)","Item","$bca_undryed_bugmeat_description","CookingAdditions"
"BCA_Undryed_ChickenMeat","Salted Chicken Meat (Material)","Item","$bca_undryed_chickenmeat_description","CookingAdditions"
"BCA_Undryed_DeerMeat","Salted Deer Meat (Material)","Item","$bca_undryed_deermeat_description","CookingAdditions"
"BCA_Undryed_Fish","Salted Fish (Material)","Item","$bca_undryed_fish_description","CookingAdditions"
"BCA_Undryed_HareMeat","Salted Hare Meat (Material)","Item","$bca_undryed_haremeat_description","CookingAdditions"
"BCA_Undryed_RawMeat","Salted Boar Meat (Material)","Item","$bca_undryed_rawmeat_description","CookingAdditions"
"BCA_Undryed_WolfMeat","Salted Wolf Meat (Material)","Item","$bca_undryed_wolfmeat_description","CookingAdditions"
"BCA_ChiliPepperPlant","BCA_ChiliPepperPlant","Undefined","","CookingAdditions"
"BCA_TomatoPlant","BCA_TomatoPlant","Undefined","","CookingAdditions"
"BCA_Wild_Tomato","BCA_Wild_Tomato","Undefined","","CookingAdditions"
"BCA_Wild_ChiliPepper","BCA_Wild_ChiliPepper","Undefined","","CookingAdditions"
"BCA_MineRock_Salt","Salt Deposit","Undefined","","CookingAdditions"
"BMR_WoodenStaff","Wood Staff","Weapon","$bmr_woodstaff_description","MagicRevamp"
"BMR_EmberStaff","Ember Staff","Weapon","$bmr_emberstaff_description","MagicRevamp"
"BMR_AncientStaff","Ancient Staff","Weapon","$bmr_ancientstaff_description","MagicRevamp"
"BMR_CrystalStaff","Crystal Staff","Weapon","$bmr_crystalstaff_description","MagicRevamp"
"BMR_VoodooStaff","Voodoo Staff","Weapon","$bmr_voodoostaff_description","MagicRevamp"
"BMR_ElvenStaff","Elven Staff","Weapon","$bmr_elvenstaff_description","MagicRevamp"
"BMR_FlametalStaff","Flametal Staff","Weapon","$bmr_flametalstaff_description","MagicRevamp"
"BMR_WoodenWand","Wooden Wand","Weapon","$bmr_wand_wooden_description","MagicRevamp"
"BMR_EmberWand","Ember Wand","Weapon","$bmr_wand_ember_description","MagicRevamp"
"BMR_RootWand","Root Wand","Weapon","$bmr_wand_root_description","MagicRevamp"
"BMR_CrystalWand","Crystal Wand","Weapon","$bmr_wand_crystal_description","MagicRevamp"
"BMR_CursedWand","Cursed Wand","Weapon","$bmr_wand_cursed_description","MagicRevamp"
"BMR_ElvenWand","Elven Wand","Weapon","$bmr_wand_elven_description","MagicRevamp"
"BMR_AncientWand","Ancient Wand","Weapon","$bmr_wand_ancient_description","MagicRevamp"
"BMR_FireEssence","Fire Essence","Item","$bmr_essence_fire_description","MagicRevamp"
"BMR_IceEssence","Ice Essence","Item","$bmr_essence_ice_description","MagicRevamp"
