Prefab,Name,Mod,Station,Station Lvl,Skill Level,Recipe,DMG,Armor,Block,Weight,Durability,Tier,World Level,Rarity
PhilosopherStoneGreen,Emerald Philosopher's Stone,PotionsPlus,,1,,Flask_of_Fortification x5,,,Power,10,maxDurability,,,
PhilosopherStonePurple,Amethyst Philosopher's Stone,PotionsPlus,,1,,Flask_of_Second_Wind x5,,,Power,10,maxDurability,,,
PhilosopherStoneRed,Ruby Philosopher's Stone,PotionsPlus,,1,,Flask_of_the_Gods x5,,,Power,10,maxDurability,,,
PickaxeAntler,Antler Pickaxe,Valheim,,1,,"Wood x10, HardAntler x1",18,,Power,2,maxDurability,,,
PickaxeBlackMetal,Black Metal Pickaxe,Valheim,,4,,"YggdrasilWood x3, BlackMetal x25",49,,Power,2,maxDurability,4,,
PickaxeBronze,Bronze Pickaxe,Valheim,,1,,"RoundLog x3, Bronze x10",25,,Power,2,maxDurability,1,,
PickaxeFader_TW,Flametal Enchanted Pickaxe,Warfare,,3,,"FlametalNew x15, FaderDrop x2",65,,Power,2,maxDurability,6,,
PickaxeIron,Iron Pickaxe,Valheim,,2,,"RoundLog x3, Iron x20",33,,Power,2,maxDurability,2,,
PickaxeLokvyr_TW,Lokvyr Pickaxe,WarfareFireAndIce,,1,,"LokvyrBar_TW x8, BorealWood_TW x12, BlackIce_TW x8",80,,Power,2,maxDurability,7,,
PickaxeSilver_TW,Silver Pickaxe,Warfare,,3,,"Silver x10, ElderBark x10",41,,Power,2,maxDurability,2,,
PickaxeStone,Stone Pickaxe,Valheim,,1,,"Wood x3, Stone x10",15,,Power,2,maxDurability,,,
PickaxeStone_JH,Stone Pickaxe,WackysDatabase,,1,,"Wood x10, Stone x5",10,,Power,2,maxDurability,,,
PiquantPie,Piquant Pie,Valheim,,1,,"Vineberry x2, AsksvinMeat x2, BarleyFlour x4",,,Power,1,maxDurability,,,
PlanCrystal,Skuld Crystal,PlanBuild,,1,,GreydwarfEye x1,,,Power,0.1,maxDurability,,,
PlanHammer,Plan Hammer,PlanBuild,,1,,Wood x1,,,Power,0,maxDurability,,,
Potion_Meadbase,Potion Base,PotionsPlus,,2,,"Honey x2, YmirRemains x4",,,Power,1,maxDurability,,,
PotionAquatic_TW,Aquatic potion,Wizardry,,1,,"ShardModer_TW x2, MushroomWizardbutter_TW x3, FishRaw x6, Chitin x2",,,Power,1,maxDurability,,,
PotionLumberjack_TW,Lumberjack potion,Wizardry,,1,,"ShardElder_TW x2, MushroomWitcheye_TW x4, AncientSeed x1, Thistle x2",,,Power,1,maxDurability,,,
PotionMiner_TW,Miner potion,Wizardry,,1,,"ShardBonemass_TW x2, MushroomDeathcap_TW x4, BoneFragments x6, Blueberries x6",,,Power,1,maxDurability,,,
PotionOx_TW,Oxen potion,Wizardry,,1,,"ShardElder_TW x2, MushroomWitcheye_TW x3, Bloodbag x6, Carrot x4",,,Power,1,maxDurability,,,
PotionRejuvenationMedium_TW,Medium rejuvenation potion,Wizardry,,1,,"ShardYagluth_TW x2, MeadHealthMedium x2, MeadStaminaMedium x2, MeadEitrMountain_TW x2",,,Power,1,maxDurability,,,
PotionRejuvenationMinor_TW,Minor rejuvenation potion,Wizardry,,1,,"ShardBonemass_TW x2, MeadHealthMinor x2, MeadStaminaMinor x2, MeadEitrBlackForest_TW x2",,,Power,1,maxDurability,,,
PotionSkills_TW,Skillful potion,Wizardry,,1,,"ShardModer_TW x3, MushroomWizardbutter_TW x3, MushroomDevilstongue_TW x3, Cloudberry x4",,,Power,1,maxDurability,,,
PotionSneak_TW,Sneak potion,Wizardry,,1,,"ShardBonemass_TW x2, MushroomWitcheye_TW x3, MushroomDeathcap_TW x3, Carrot x3",,,Power,1,maxDurability,,,
PotionSpeed_TW,Speed potion,Wizardry,,1,,"ShardYagluth_TW x2, MushroomDevilstongue_TW x4, Cloudberry x4, Guck x8",,,Power,1,maxDurability,,,
PotionStoneskin_TW,Stoneskin potion,Wizardry,,1,,"ShardYagluth_TW x4, MushroomDevilstongue_TW x6, Stone x14, Obsidian x8",,,Power,1,maxDurability,,,
QueensJam,Queen's Jam,Valheim,,1,,"Raspberry x6, Blueberries x6",,,Power,1,maxDurability,,,
RagnoriteBar_TW,Ragnorite,WarfareFireAndIce,,1,,"LokvyrBar_TW x1, MuspelheimCrystal_TW x1",,,Power,12,maxDurability,,,
RagnoriteDevastator_JH,Ragnorite Eruptor,WackysDatabase,,1,,"RagnoriteBar_TW x28, RuneDestruction_TW x16, DemonicHorn_TW x10, TrophySurtrImp_TW x1",31,,Power,1.5,maxDurability,1,,
ResinWood,Resin Wood,OdinShipPlus,Carpenters Table,1,,"RoundLog x10, Resin x10",,,Power,2,maxDurability,,,
RingBlackForest_TW,Magical Bronze Ring,Wizardry,,1,,"ShardElder_TW x4, Bronze x4, Ruby x2",,,Power,0,maxDurability,,,
RingLoki_TW,Thirst For Knowledge,WarfareFireAndIce,,1,,"ThoradusBar_TW x20, SurtrIdol_TW x10, RuneWrath_TW x14, TrophyStormHerald_TW x1",,,Power,0,maxDurability,,,
RingMistlands_TW,Magical Carapace Ring,Wizardry,,4,,"Carapace x4, Bilebag x1, Amethyst_TW x1, TrophyTick x1",,,Power,0,maxDurability,,,
RingMountain_TW,Magical Silver Ring,Wizardry,,3,,"ShardModer_TW x4, Silver x4, Diamond_TW x1",,,Power,0,maxDurability,,,
RingPlains_TW,Magical Blackmetal Ring,Wizardry,,4,,"ShardYagluth_TW x4, BlackMetal x4, Emerald_TW x1, TrophyGrowth x1",,,Power,0,maxDurability,,,
RingSwamp_TW,Magical Iron Ring,Wizardry,,2,,"ShardBonemass_TW x4, Iron x4, Onyx_TW x1",,,Power,0,maxDurability,,,
RoastedCrustPie,Roasted Crust Pie,Valheim,,1,,"Vineberry x2, VoltureEgg x1, BarleyFlour x4",,,Power,1,maxDurability,,,
RuneDestruction_TW,Magic Rune: Destruction,WarfareFireAndIce,,1,,"BlackIce_TW x5, FenrirArtifact_TW x15",,,Power,0.01,maxDurability,,,
runeknightchest,Rune Knight Armor,SouthsilArmor,,1,,"knightchest x1, BlackMetal x30, Eitr x30, BlackCore x2",,,Power,10,maxDurability,,,
runeknighthelm,Rune Knight Helm,SouthsilArmor,,1,,"knighthelm x1, BlackMetal x30, Eitr x30, BlackCore x2",,,Power,1,maxDurability,,,
runeknightlegs,Rune Knight Legplates,SouthsilArmor,,1,,"knightlegs x1, BlackMetal x30, Eitr x30, BlackCore x2",,,Power,10,maxDurability,,,
RuneRage_TW,Magic Rune: Rage,WarfareFireAndIce,,1,,"BlackIce_TW x5, FenrirArtifact_TW x15",,,Power,0.01,maxDurability,,,
RuneWrath_TW,Magic Rune: Wrath,WarfareFireAndIce,,1,,"RuneRage_TW x5, RuneDestruction_TW x5, FenrirArtifact_TW x5",,,Power,0.01,maxDurability,,,
SaddleAsksvin,Asksvin Saddle,Valheim,,2,,"FlametalNew x6, LinenThread x20, MorgenSinew x4",,,Power,10,maxDurability,,,
SaddleBear_TW,Bear Saddle,Monstrum,,3,,"BlackBearPelt_TW x6, TrollBone_TW x2, TrophyBlackBear_TW x1",,,Power,8,maxDurability,,,
SaddleBoar_TW,Razorback Saddle,Monstrum,,3,,"RazorbackLeather_TW x12, RazorbackTusk_TW x4, TrophyRazorback_TW x1",,,Power,8,maxDurability,,,
SaddleMammoth_TW,Pridetusk Saddle,MonstrumDeepNorth,,5,,"ArcticMammothPelt_TW x6, ArcticMammothTusk_TW x2, TrophyArcticMammoth_TW x1",,,Power,13,maxDurability,,,
SaddleProwler_TW,Prowler Saddle,Monstrum,,4,,"ProwlerFang_TW x4, LoxPelt x4, TrophyProwler_TW x1",,,Power,8,maxDurability,,,
SageBook01,Sage Book 01,SagesVault,,3,,"LeatherScraps x10, LinenThread x10, Silver x5",,,Power,3,maxDurability,,,
SageBook02,Sage Book 02,SagesVault,,3,,"LeatherScraps x10, LinenThread x10, Silver x5",10,,Power,5,maxDurability,,,
SageBook03,Sage Book 03,SagesVault,,3,,"LeatherScraps x10, LinenThread x10, Silver x5",10,,Power,5,maxDurability,,,
SageBook04,Sage Book 04,SagesVault,,3,,"LeatherScraps x10, LinenThread x10, Silver x5",10,,Power,5,maxDurability,,,
SageCrownGold01,Sage Crown Gold 01,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownGold02,Sage Crown Gold 02,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownGold03,Sage Crown Gold 03,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownObsidian01,Sage Crown Obsidian 01,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownObsidian02,Sage Crown Obsidian 02,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownObsidian03,Sage Crown Obsidian 03,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownSilver01,Sage Crown Silver 01,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownSilver02,Sage Crown Silver 02,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageCrownSilver03,Sage Crown Silver 03,SagesVault,,3,,"Silver x10, Ruby x1, Crystal x5",10,,Power,1,maxDurability,,,
SageDarkStaff,Sage Dark Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"DragonTear x10, Silver x60, Crystal x30, ElderBark x20",115,,Power,1,maxDurability,,,
SageFireStaff,Sage Fire Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"DragonTear x10, Silver x60, Crystal x30, ElderBark x20",115,,Power,1,maxDurability,,,
SageHolyStaff,Sage Holy Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"DragonTear x10, Silver x60, Crystal x30, ElderBark x20",115,,Power,1,maxDurability,,,
SageHoodBlack,Sage Hood Black,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodBlue,Sage Hood Blue,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodBrown,Sage Hood Brown,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodGray,Sage Hood Gray,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodGreen,Sage Hood Green,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodRed,Sage Hood Red,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageHoodWhite,Sage Hood White,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",10,,Power,1,maxDurability,,,
SageIceStaff,Sage Ice Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"DragonTear x10, Silver x60, Crystal x30, ElderBark x20",115,,Power,1,maxDurability,,,
SageLightningStaff,Sage Lightning Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"DragonTear x10, Silver x60, Crystal x30, ElderBark x20",115,,Power,1,maxDurability,,,
SagePants,Sage Pants,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeBlack,Sage Robe Black,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeBlue,Sage Robe Blue,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeBrown,Sage Robe Brown,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeGray,Sage Robe Gray,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeGreen,Sage Robe Green,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeRed,Sage Robe Red,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageRobeWhite,Sage Robe White,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,10,maxDurability,,,
SageTunicBlack,Sage Tunic Black,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicBlue,Sage Tunic Blue,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicBrown,Sage Tunic Brown,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicGray,Sage Tunic Gray,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicGreen,Sage Tunic Green,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicRed,Sage Tunic Red,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
SageTunicWhite,Sage Tunic White,SagesVault,,3,,"LinenThread x10, TrollHide x30, GreydwarfEye x10",,,Power,5,maxDurability,,,
Salad,Salad,Valheim,,5,,"MushroomJotunPuffs x3, Onion x3, Cloudberry x3",,,Power,1,maxDurability,,,
samuraichest,Seekurai Wings,SouthsilArmor,,2,,"Copper x30, BlackMetal x30, YggdrasilWood x30, TrophySeeker x6",,,Power,10,maxDurability,,,
samuraihelm,Seekurai Mask,SouthsilArmor,,2,,"Copper x30, BlackMetal x30, YggdrasilWood x30, TrophySeekerBrute x1",,,Power,1,maxDurability,,,
samurailegs,Seekurai Claws,SouthsilArmor,,2,,"Copper x30, BlackMetal x30, JuteBlue x15",,,Power,10,maxDurability,,,
Sausages,Sausages,Valheim,,2,,"Entrails x4, RawMeat x1, Thistle x1",,,Power,0.5,maxDurability,,,
ScholarBackpack,Scholar Backpack,Valheim,,1,,"FabricBundle_Swamp_TW x2, Iron x2",,,Power,4,maxDurability,,,
ScholarFireStaff,Scholar Fire Staff,shod in iron and inscribed with sigils and runes of all types,,3,,"GreydwarfEye x50, Bronze x10, Ruby x5, FineWood x20",40,,Power,1,maxDurability,,,
ScorchingMedley,Scorching Medley,Valheim,,6,,"MushroomJotunPuffs x3, Onion x3, Fiddleheadfern x3",,,Power,1,maxDurability,,,
ScrollBackpack,Scroll Backpack,Valheim,,1,,"DeerHide x10, LeatherScraps x5, BlackBearPelt_TW x0, Bronze x0, RottenPelt_TW x0, Iron x0, GrizzlyBearPelt_TW x0, Silver x0, LoxPelt x0, BlackMetal x0",,,Power,4,maxDurability,,,
Scythe,Scythe,Valheim,,2,,"ScytheHandle x1, Silver x6",,,Power,2,maxDurability,,,
ScytheVampiric_TW,Blood Drinker,Warfare,,4,,"Iron x0, Iron x0, Iron x0, Silver x0, Silver x0, Silver x0, Silver x0, BlackMetal x0, BlackMetal x0, BlackMetal x0, BlackMetal x0, WitheredBone x0, WitheredBone x0, WitheredBone x0, SerpentScale x0, SerpentScale x0, SerpentScale x0, SerpentScale x0, LoxBone_TW x0, LoxBone_TW x0, LoxBone_TW x0, LoxBone_TW x0, Bloodbag x0, Bloodbag x0, Bloodbag x0, FreezeGland x0, FreezeGland x0, FreezeGland x0, FreezeGland x0, GoblinTotem x0, GoblinTotem x0, GoblinTotem x0, GoblinTotem x0, TrophyVrykolathas_TW x0, TrophyVrykolathas_TW x0, TrophyVrykolathas_TW x0, TrophySGolem x0, TrophySGolem x0, TrophySGolem x0, TrophySGolem x0, TrophyGoblinBrute x0, TrophyGoblinBrute x0, TrophyGoblinBrute x0, TrophyGoblinBrute x0",84,,Power,2.5,maxDurability,,,
SeekerAspic,Seeker Aspic,Valheim,,5,,"BugMeat x2, MushroomMagecap x2, RoyalJelly x2",,,Power,1,maxDurability,,,
SeekerJerky_JH,Seeker Jerky,WackysDatabase,,5,,"BugMeat x2, Honey x2, MushroomMagecap x1",,,Power,0.5,maxDurability,,,
SerpentJerky_JH,Serpent Jerky,WackysDatabase,,3,,"SerpentMeat x2, Honey x2",,,Power,1,maxDurability,,,
SerpentStew,Serpent Stew,Valheim,,3,,"Mushroom x1, SerpentMeatCooked x1, Onion x3, Honey x2",,,Power,1,maxDurability,,,
ShardBonemass_TW,Bonemass Shard,Wizardry,,1,,"ShardElder_TW x3, Iron x1",,,Power,1,maxDurability,,,
ShardElder_TW,Elder Shard,Wizardry,,1,,"Bronze x5, AncientSeed x2, TrophyGreydwarfShaman x1",,,Power,1,maxDurability,,,
ShardModer_TW,Moder Shard,Wizardry,,1,,"ShardBonemass_TW x3, Silver x1",,,Power,1,maxDurability,,,
ShardQueen_TW,Queen Shard,Wizardry,,1,,"ShardYagluth_TW x3, Eitr x1",,,Power,1,maxDurability,,,
ShardYagluth_TW,Yagluth Shard,Wizardry,,1,,"ShardModer_TW x3, BlackMetal x1",,,Power,1,maxDurability,,,
SharkFinSoup_TW,Bloodgill Fin Soup,Monstrum,,5,,"SharkMeat_TW x1, SharkFin_TW x2, Cloudberry x3",,,Power,1,maxDurability,,,
SharpeningStone,Sharpening Stone,Valheim,,1,,Stone x5,,,Power,6,maxDurability,,,
shawarcaniumshield,Bulwark of the Arcanium Paladin,Shawesomes_Divine_Armaments,,2,,"Arcanium x4, Thunderstorm_Item x10",10,,Power,40,maxDurability,4,,
ShawDivineElixerBase,Divine Elixir Base,Shawesomes_Divine_Armaments,,1,,"Thunderstorm_Item x10, GemstoneBlue x1, MeadHealthMajor x1, MeadEitrMinor x1, MeadStaminaMedium x1, MeadHealthLingering x1, MeadEitrLingering x1, MeadStaminaLingering x1",,,Power,1,maxDurability,,,
ShawesomeCape,Shroud of Shawesome,Consecrated in the Blood of Jörmungandr and Blessed by Thor. Gifts from the Gods to the Mighty Shawesome for his Ascension to the Godly Realm...,,2,,"shawfirelegs x1, shawfirechest x1, shawfirehelm x1, FlametalNew x20",,,Power,4,maxDurability,3,,
shawesomeslayercape,Emerald Dragon Cape,Shawesomes_Divine_Armaments,,2,,"FlametalNew x20, TrophyFader x1, GemstoneGreen x1, BlackMetal x20",,,Power,4,maxDurability,4,,
shawesomesledge,Divine Elemental Sledge,Shawesomes_Divine_Armaments,,2,,Arcanium x4,185,,Power,4,maxDurability,5,,
shawfirechest,Infernal Aegisplate,but endured—tempered by divine flame.,,5,,"Thunderstorm_Item x10, Arcanium x5",,,Power,40,maxDurability,2,,
shawfirehelm,Eyes of the Cinder Saint,Shawesomes_Divine_Armaments,,5,,"Thunderstorm_Item x10, Arcanium x2",,,Power,4,maxDurability,,,
shawfirelegs,Ashenstride Sabatons,Shawesomes_Divine_Armaments,,5,,"Thunderstorm_Item x10, Arcanium x4",,,Power,10,maxDurability,4,,
shawfireproof,Aegis of the Ashlands,its heavy and warm but the flames do not burn you...,,2,,"TrophyCultist x1, TrophySurtling x1, FlametalNew x10",296,,Power,5,maxDurability,5,,
shawfrostchest,Vafþrúðnir's Glacial Plate,heralding the doom of gods and men. As the Realms stir and brace for Ragnarok,,5,,"Thunderstorm_Item x10, Arcanium x5",,,Power,40,maxDurability,2,,
shawfrosthelm,Sight of Vafþrúðnir,From Ymir's dreams,,5,,"Thunderstorm_Item x10, Arcanium x5",,,Power,4,maxDurability,,,
shawfrostlegs,Frozen Greaves of Vafþrúðnir,the wearer treads the path foreseen by the ancient seer,,5,,"Thunderstorm_Item x10, Arcanium x4",,,Power,10,maxDurability,4,,
ShieldArcticSerpentscale_TW,Icestalker Scale Shield,WarfareFireAndIce,,1,,"ArcticSerpentScale_TW x25, ArcticMammothTusk_TW x10, BlackIce_TW x25, TrophyArcticSerpent_TW x1",10,,Power,6,maxDurability,,,
ShieldBanded,Banded Shield,Valheim,,2,,"FineWood x10, Iron x8",10,,Power,5,maxDurability,2,,
ShieldBlackmetal,Black Metal Shield,Valheim,,3,,"FineWood x10, BlackMetal x8, Chain x5",10,,Power,5,maxDurability,4,,
ShieldBlackmetalBuckler_TW,Blackmetal Buckler,Warfare,,3,,"BlackMetal x20, FineWood x12, LinenThread x6, TrophyLox x1",,,Power,4,maxDurability,,,
ShieldBlackmetalTower,Black Metal Tower Shield,Valheim,,3,,"FineWood x15, BlackMetal x10, Chain x7",10,,Power,5,maxDurability,4,,
ShieldBoneTower,Bone Tower Shield,Valheim,,3,,"Wood x10, BoneFragments x10, TrophySkeleton x3",,,Power,4,maxDurability,1,,
ShieldBronzeBanded_TW,Bronze Banded Shield,Warfare,,1,,"RoundLog x10, Bronze x12, DeerHide x2",5,,Power,5,maxDurability,,,
ShieldBronzeBuckler,Bronze Buckler,Valheim,,1,,"Bronze x10, Wood x4",,,Power,3,maxDurability,1,,
ShieldBronzeTower_TW,Bronze Tower Shield,Warfare,,1,,"RoundLog x12, Bronze x14, DeerHide x2",,,Power,4,maxDurability,,,
ShieldCarapace,Carapace Shield,Valheim,,1,,"Carapace x20, ScaleHide x3, Eitr x10",10,,Power,5,maxDurability,5,,
ShieldCarapaceBuckler,Carapace Buckler,Valheim,,1,,"Carapace x16, ScaleHide x3, Eitr x10",10,,Power,5,maxDurability,5,,
ShieldCarapaceTower_TW,Carapace Scale Dome,Warfare,,1,,"Carapace x30, BlackMarble x20, Eitr x14, DarkCrystal_TW x6",10,,Power,5,maxDurability,,,
ShieldChitin_TW,Barnacle Shield,Warfare,,1,,"Chitin x15, ElderBark x12, Bronze x10",5,,Power,5,maxDurability,,,
ShieldChitinBuckler_TW,Chitin Buckler,Warfare,,1,,"Chitin x25, ElderBark x10, Bronze x10",,,Power,4,maxDurability,,,
ShieldChitinTower_TW,Chitin Tower Shield,Warfare,,1,,"Chitin x18, ElderBark x14, Bronze x10",,,Power,4,maxDurability,,,
ShieldCore,Shield Core,Valheim,,2,,"BlackCore x1, SurtlingCore x1, CeramicPlate x5",,,Power,1,maxDurability,,,
ShieldFlametal,Flametal Shield,Valheim,,3,,"Blackwood x10, FlametalNew x8, AskHide x2",10,,Power,5,maxDurability,4,,
ShieldFlametalTower,Flametal Tower Shield,Valheim,,3,,"Blackwood x15, FlametalNew x10, AskHide x5",10,,Power,5,maxDurability,4,,
ShieldIronBuckler,Iron Buckler,Valheim,,2,,"Iron x10, ElderBark x4",,,Power,4,maxDurability,2,,
ShieldIronSquare,Iron Shield,Valheim,,2,,"FineWood x10, Iron x6",,,Power,4,maxDurability,2,,
ShieldIronTower,Iron Tower Shield,Valheim,,2,,"FineWood x15, Iron x10",,,Power,4,maxDurability,2,,
ShieldNjord_TW,Njord Aegis,WarfareFireAndIce,,1,,"TyraniumBar_TW x12, FurBundleNorth_TW x10, BorealWood_TW x12, JotunnEye_TW x6",10,,Power,5,maxDurability,,,
ShieldNjordBuckler_TW,Njord Buckler,WarfareFireAndIce,,1,,"TyraniumBar_TW x16, RuneRage_TW x14, ArcticBearPelt_TW x6, YmirIdol_TW x4",,,Power,5.5,maxDurability,,,
ShieldNjordTower_TW,Njord Tribe Defender,WarfareFireAndIce,,1,,"TyraniumBar_TW x18, FurBundleNorth_TW x16, ArcticSerpentScale_TW x12, YmirIdol_TW x4",10,,Power,5,maxDurability,,,
ShieldSerpentscale,Serpent Scale Shield,Valheim,,3,,"FineWood x10, Iron x4, SerpentScale x8",10,,Power,5,maxDurability,3,,
ShieldSilver,Silver Shield,Valheim,,3,,"FineWood x10, Silver x8",10,,Power,5,maxDurability,3,,
ShieldSilverBuckler_TW,Silver Buckler,Warfare,,3,,"Silver x10, FineWood x6, Crystal x6, TrophySGolem x1",,,Power,4,maxDurability,,,
ShieldSurtr_TW,Surtr Deflector,WarfareFireAndIce,,1,,"RagnoriteBar_TW x12, HelHideBundle_TW x10, BorealWood_TW x12, DemonicSoulstone_TW x6",10,,Power,5,maxDurability,,,
ShieldSurtrBuckler_TW,Surtr Buckler,WarfareFireAndIce,,1,,"RagnoriteBar_TW x16, RuneDestruction_TW x14, DrakeScale_TW x6, SurtrIdol_TW x4",,,Power,6,maxDurability,,,
ShieldSurtrTower_TW,Surtr Bulwark,WarfareFireAndIce,,1,,"RagnoriteBar_TW x18, HelHideBundle_TW x16, DaggerfangScaleHide_TW x12, SurtrIdol_TW x4",10,,Power,5,maxDurability,,,
ShieldWood,Wood Shield,Valheim,,1,,"Wood x10, Resin x4, LeatherScraps x4",,,Power,4,maxDurability,,,
ShieldWoodTower,Wood Tower Shield,Valheim,,1,,"Wood x10, LeatherScraps x6",,,Power,4,maxDurability,,,
ShipRope,Marine Rope,OdinShipPlus,Carpenters Table,1,,LeatherScraps x5,,,Power,2,maxDurability,,,
ShocklateSmoothie,Muckshake,Valheim,,2,,"Ooze x1, Raspberry x2, Blueberries x2",,,Power,1,maxDurability,,,
ShroomSoupBlackForest_TW,Witcheye Soup,Wizardry,,1,,"MushroomWitcheye_TW x3, Mushroom x4, RawMeat x2",,,Power,0.3,maxDurability,,,
ShroomSoupMountain_TW,Wizard Butter Soup,Wizardry,,3,,"MushroomWizardbutter_TW x2, Onion x2, WolfMeat x2",,,Power,0.3,maxDurability,,,
ShroomSoupPlains_TW,Devils Tongue soup,Wizardry,,4,,"MushroomDevilstongue_TW x3, Barley x2, LoxMeat x2",,,Power,0.3,maxDurability,,,
ShroomSoupSwamp_TW,Deathcap Soup,Wizardry,,2,,"MushroomDeathcap_TW x2, Carrot x2, Entrails x3",,,Power,0.3,maxDurability,,,
ShroomTartUncooked_TW,Uncooked Mushroom Tart,MonstrumDeepNorth,,1,,"BarleyFlour x2, Helweed_TW x2, MushroomWintercap_TW x2, TundraBerry_TW x3",,,Power,1,maxDurability,,,
shwhevnlyltng,Thundering Lightning Bolt,capable of decimating foes with a single strike. Wield this electrifying weapon to call down the heavens' might and unleash unbridled power upon your enemies.,,2,,"ShawesomeCape x1, Buildnir x1, Thunderstorm_Item x10",310,,Power,1.5,maxDurability,3,,
shwsmpalladinCuirass,Arcanium Paladin Cuirass,Shawesomes_Divine_Armaments,,2,,"Arcanium x5, Thunderstorm_Item x10",,,Power,30,maxDurability,4,,
shwsmpalladinGreaves,Arcanium Paladin Greaves,to better absorb the Eitr with each step.,,2,,"Arcanium x4, Thunderstorm_Item x10",,,Power,0.4,maxDurability,4,,
shwsmpalladinhead,Arcanium Paladin Helm,their powers now yours to weild... Their Wisdom yours to cultivate.,,2,,"Arcanium x2, Thunderstorm_Item x10",,,Power,4,maxDurability,,,
shwsmpalladinheadVisor,Arcanium Paladin Helm (Visor),their powers now yours to weild... Their Wisdom yours to cultivate.,,2,,"Arcanium x3, Thunderstorm_Item x10",,,Power,4,maxDurability,,,
SilverBattleaxeHTD,Silver Battleaxe,Hugos Armory,,1,,"ElderBark x20, Silver x18, LeatherScraps x9, Iron x7",147,,Power,4,maxDurability,4,,
SilverBelt_JH,Silver Belt,WackysDatabase,,4,,"BeltStrength x1, Silver x10, YmirRemains x3",,,Power,2,maxDurability,,,
SilverDevastator_JH,Silver Eruptor,WackysDatabase,,3,,"Silver x30, ElderBark x20, IronNails x10, TrophyHatchling x1",15,,Power,1.5,maxDurability,1,,
SilverFistsHTD,Silver Claws,Hugos Armory,,1,,"WolfPelt x8, Silver x10, LeatherScraps x9, Iron x5",100,,Power,4,maxDurability,1,,
SilverGreatMaceHTD,Great Silver Mace,Hugos Armory,,1,,"ElderBark x20, Silver x20, YmirRemains x10, FreezeGland x10",168,,Power,8,maxDurability,4,,
